
2023/02/03 (18:22:59) | ===> btop++ v.1.2.13
2023/02/03 (18:22:59) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:23:10) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:24:25) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:24:42) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:25:09) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:25:32) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:25:54) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:26:12) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:26:25) | ERROR: Stall in Runner thread, restarting!
2023/02/03 (18:26:34) | ERROR: Stall in Runner thread, restarting!

2023/02/05 (17:13:48) | ===> btop++ v.1.2.13
2023/02/05 (17:13:48) | ERROR: Stall in Runner thread, restarting!

2023/02/05 (19:03:28) | ===> btop++ v.1.2.13
2023/02/05 (19:03:28) | ERROR: Stall in Runner thread, restarting!
2023/02/05 (20:50:19) | ERROR: Stall in Runner thread, restarting!

2023/02/24 (15:23:27) | ===> btop++ v.1.2.13
2023/02/24 (15:23:27) | ERROR: Stall in Runner thread, restarting!

2023/03/05 (20:42:34) | ===> btop++ v.1.2.13
2023/03/05 (20:43:59) | ERROR: Stall in Runner thread, restarting!

2023/04/14 (23:13:49) | ===> btop++ v.1.2.13
2023/04/14 (23:13:50) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:14:06) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:14:24) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:14:40) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:15:15) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:15:45) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:16:29) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:18:15) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:19:18) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:19:54) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:27:02) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:27:08) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:27:33) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:28:05) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:37:18) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:37:37) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:49:56) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:50:10) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:56:13) | ERROR: Stall in Runner thread, restarting!
2023/04/14 (23:56:39) | ERROR: Stall in Runner thread, restarting!
2023/04/15 (00:04:09) | ERROR: Stall in Runner thread, restarting!
2023/04/15 (00:04:45) | ERROR: Stall in Runner thread, restarting!

2023/07/17 (21:11:11) | ===> btop++ v.1.2.13
2023/07/17 (21:11:11) | ERROR: Stall in Runner thread, restarting!
2023/07/18 (18:53:14) | ERROR: Stall in Runner thread, restarting!

2023/08/26 (11:13:44) | ===> btop++ v.1.2.13
2023/08/26 (11:13:44) | ERROR: Stall in Runner thread, restarting!

2023/09/08 (11:40:43) | ===> btop++ v.1.2.13
2023/09/08 (11:40:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/08 (08:31:10) | ===> btop++ v.1.3.0
2024/02/08 (08:31:10) | ERROR: Exception during Config::unlock() : unordered_map::at
